fid,Code_Commu,Code_Provi,CODE_REGIO,nom,Marocains_,Etrangers_,Populati_1,Menages_,nom_arabe,longitude,latitude
87,05.255.09.09.,05.255.,5.0,Hel Merbaa,9690,2,9692,2414,جماعة أهل مربع,-6.60604,32.43824
88,05.301.07.07.,05.301.,5.0,C d'El Hammam,9697,0,9697,2567,جماعة الحمام,-5.64236,33.2766
89,05.301.03.05.,05.301.,5.0,C d'El Kbab,14575,5,14580,3880,جماعة القباب,-5.44887,32.67115
90,05.081.05.11.,05.081.,5.0,Moulay Aissa Ben Driss,13409,0,13409,3099,جماعة مولاي عيسى بن ادريس,-6.7231,32.09495
91,05.311.07.15.,05.311.,5.0,C d'Oulad Boughadi,8147,0,8147,1991,جماعة أولاد بوغادي,-6.74231,33.07632
92,05.255.05.05.,05.255.,5.0,C d'Ouled Bourahmoune,14582,1,14583,3292,جماعة أولاد بورحمون,-6.67668,32.29001
93,05.311.07.11.,05.311.,5.0,Maadna,5595,0,5595,1302,جماعة المعادنة,-6.4972,32.90345
94,05.091.03.11.,05.091.,5.0,Foum El Anceur,24230,2,24232,5809,جماعة فم العنصر,-6.2253,32.33269
95,05.081.05.09.,05.081.,5.0,Foum Jemaa,9373,0,9373,2310,جماعة فم الجمعة,-7.0034,31.96267
96,05.091.03.01.,05.091.,5.0,Foum Oudi,16251,5,16256,3810,جماعة فم أودي,-6.39379,32.26606
97,05.255.01.05.,05.255.,5.0,Fquih Ben Salah,97329,51,97380,25065,جماعة الفقيه بن صالح,-6.68421,32.50727
98,05.081.15.11.,05.081.,5.0,C d'Imlil,11174,1,11175,2608,جماعة امليل,-7.01079,31.76344
99,05.081.13.19.,05.081.,5.0,Tidili Fetouaka,13661,0,13661,2835,جماعة تدلي فطواكة,-7.16621,31.71449
100,05.081.15.21.,05.081.,5.0,Tifni,10906,0,10906,2299,جماعة تفني,-6.95615,31.63753
101,05.301.03.13.,05.301.,5.0,Tighassaline,15786,2,15788,4399,جماعة تيغسالين,-5.53054,32.61863
102,05.081.09.23.,05.081.,5.0,Tilougguite,11592,0,11592,2455,جماعة تيلوكيت,-6.16401,32.01368
103,05.091.07.15.,05.091.,5.0,Tanougha,13773,0,13773,3376,جماعة تانوغة,-6.08877,32.44281
104,05.081.05.19.,05.081.,5.0,Taounza,10254,0,10254,2407,جماعة تاونزة,-6.6289,32.08195
105,05.081.11.25.,05.081.,5.0,Timoulilt,6851,1,6852,1732,جماعة تيموليلت,-6.4676,32.20912
106,05.091.01.07.,05.091.,5.0,Kasba Tadla,48105,67,48172,13030,جماعة قصبة تادلة,-6.26592,32.59631
107,05.311.05.07.,05.311.,5.0,Lagfaf,8556,4,8560,2143,جماعة لكفاف,-6.73066,32.93482
108,05.311.07.09.,05.311.,5.0,Lagnadiz,6905,0,6905,1608,جماعة لكناديز,-6.7916,33.16104
109,05.081.05.21.,05.081.,5.0,Tisqi,5734,0,5734,1283,جماعة تسقي,-6.80319,32.09601
110,05.091.03.07.,05.091.,5.0,C d'Ouled Yaich,25780,5,25785,6189,جماعة أولاد إيعيش,-6.33925,32.42689
111,05.091.11.03.,05.091.,5.0,C d'Ouled Youssef,14247,0,14247,3290,جماعة أولاد يوسف,-6.47913,32.55243
112,05.255.05.09.,05.255.,5.0,C d'Ouled Zmam,30037,2,30039,6547,جماعة أولاد زمام,-6.7375,32.38596
113,05.311.03.13.,05.311.,5.0,Rouached,3353,0,3353,680,جماعة الرواشد,-6.27116,32.93739
114,05.081.05.13.,05.081.,5.0,Rfala,9351,1,9352,2187,جماعة ارفالة,-6.8915,32.14131
115,05.311.05.13.,05.311.,5.0,C d'Oulad Abdoune,15850,10,15860,3548,جماعة أولاد عبدون,-6.94833,32.86191
116,05.311.05.11.,05.311.,5.0,M'fassis,4936,1,4937,1192,جماعة المفاسيس,-6.82798,32.76592
